Benchmark,Baseline_IPC,champsim_drrip_bypass_IPC,champsim_drrip_bypass_Speedup
.astar_23B.trace.gz,0.588,0.5864,-0.27%
.astar_313B.trace.gz,0.3884,0.4545,17.02%
.bfs__amazon-2008.mtx__19000000000.xz,1.369,1.402,2.41%
.bfs__amazon-2008.mtx__23000000000.xz,1.069,1.134,6.08%
.bfs__citationCiteseer.mtx__4000000000.xz,1.302,1.319,1.31%
.bfs__citationCiteseer.mtx__7000000000.xz,0.8282,0.9339,12.76%
.bfs__com-Youtube.mtx__11000000000.xz,1.157,1.197,3.46%
.bfs__com-Youtube.mtx__14000000000.xz,1.448,1.538,6.22%
.bfs__dblp-2010.mtx__4000000000.xz,1.169,1.209,3.42%
.bfs__kron-18__269000000000.xz,0.8151,0.9241,13.37%
.bfs__luxembourg_osm.mtx__0.xz,1.356,1.356,0.00%
.bfs__netherlands_osm.mtx__37000000000.xz,0.9218,0.781,-15.27%
.bfs__urand-17__39000000000.xz,1.025,1.147,11.90%
.bfs__urand-17__699000000000.xz,1.031,1.163,12.80%
.bfs__urand-18__1342000000000.xz,1.14,1.235,8.33%
.bfs__urand-18__2050000000000.xz,1.156,1.212,4.84%
.bwaves_1609B.trace.gz,1.592,1.558,-2.14%
.bwaves_1861B.trace.gz,1.647,1.616,-1.88%
.cc__amazon-2008.mtx__25000000000.xz,0.8318,0.858,3.15%
.cc__citationCiteseer.mtx__5000000000.xz,0.7066,0.7343,3.92%
.cc__com-Youtube.mtx__11000000000.xz,1.105,1.124,1.72%
.cc__com-Youtube.mtx__13000000000.xz,1.098,1.141,3.92%
.cc__dblp-2010.mtx__3000000000.xz,1.07,1.091,1.96%
.cc__dblp-2010.mtx__6000000000.xz,1.03,1.064,3.30%
.cc__kron-18__366000000000.xz,0.5994,0.6895,15.03%
.cc__netherlands_osm.mtx__11000000000.xz,1.176,1.204,2.38%
.cc__urand-17__1304000000000.xz,0.7437,0.8355,12.34%
.cc__urand-17__550000000000.xz,0.7475,0.8413,12.55%
.cc__urand-18__2669000000000.xz,0.6511,0.7132,9.54%
.gcc_13B.trace.gz,0.7329,0.7537,2.84%
.mcf_158B.trace.gz,N/A,0.2607,N/A
.mcf_250B.trace.gz,N/A,0.2898,N/A
.mcf_46B.trace.gz,0.2841,0.3073,8.17%
.omnetpp_340B.trace.gz,0.4671,0.5224,11.84%
.soplex_205B.trace.gz,0.6773,0.7509,10.87%
.soplex_217B.trace.gz,0.6737,0.7313,8.55%
.soplex_66B.trace.gz,0.7449,0.8387,12.59%
.sphinx3_883B.trace.gz,1.923,1.733,-9.88%
.xalancbmk_748B.trace.gz,1.325,1.345,1.51%
.xalancbmk_768B.trace.gz,1.284,1.305,1.64%
.xalancbmk_99B.trace.gz,0.5207,0.6449,23.85%
