Benchmark,Baseline_IPC,champsim_mockingjay.orig_triage_17_nlpc_llc_filtNonLLC_IPC,champsim_mockingjay.orig_triage_17_nlpc_llc_filtNonLLC_Speedup,champsim_mockingjay.orig_triage_16_lpc_all_filtAll_IPC,champsim_mockingjay.orig_triage_16_lpc_all_filtAll_Speedup,champsim_mockingjay.orig_triage_16_lpc_llc_filtAll_IPC,champsim_mockingjay.orig_triage_16_lpc_llc_filtAll_Speedup
.astar_23B.trace.gz,N/A,N/A,N/A,0.6244,N/A,0.6206,N/A
.astar_313B.trace.gz,N/A,N/A,N/A,0.5024,N/A,0.5032,N/A
.bfs__amazon-2008.mtx__19000000000.xz,N/A,N/A,N/A,1.45,N/A,1.479,N/A
.bfs__amazon-2008.mtx__23000000000.xz,N/A,N/A,N/A,1.183,N/A,1.186,N/A
.bfs__citationCiteseer.mtx__4000000000.xz,N/A,N/A,N/A,1.341,N/A,1.334,N/A
.bfs__citationCiteseer.mtx__7000000000.xz,N/A,N/A,N/A,0.9724,N/A,0.9686,N/A
.bfs__com-Youtube.mtx__11000000000.xz,N/A,N/A,N/A,1.176,N/A,1.176,N/A
.bfs__com-Youtube.mtx__14000000000.xz,N/A,N/A,N/A,1.56,N/A,1.588,N/A
.bfs__dblp-2010.mtx__4000000000.xz,N/A,N/A,N/A,1.22,N/A,1.22,N/A
.bfs__kron-18__269000000000.xz,N/A,N/A,N/A,0.9197,N/A,0.9265,N/A
.bfs__luxembourg_osm.mtx__0.xz,N/A,N/A,N/A,1.356,N/A,1.352,N/A
.bfs__netherlands_osm.mtx__37000000000.xz,N/A,N/A,N/A,0.9016,N/A,0.8446,N/A
.bfs__urand-17__39000000000.xz,N/A,N/A,N/A,1.216,N/A,1.17,N/A
.bfs__urand-17__699000000000.xz,N/A,N/A,N/A,1.179,N/A,1.182,N/A
.bfs__urand-18__1342000000000.xz,N/A,N/A,N/A,1.289,N/A,1.289,N/A
.bfs__urand-18__2050000000000.xz,N/A,N/A,N/A,1.306,N/A,1.295,N/A
.bwaves_1609B.trace.gz,N/A,N/A,N/A,1.602,N/A,1.588,N/A
.bwaves_1861B.trace.gz,N/A,N/A,N/A,1.676,N/A,1.675,N/A
.cc__amazon-2008.mtx__25000000000.xz,N/A,N/A,N/A,0.879,N/A,0.8758,N/A
.cc__citationCiteseer.mtx__5000000000.xz,N/A,N/A,N/A,0.7375,N/A,0.7377,N/A
.cc__com-Youtube.mtx__11000000000.xz,N/A,N/A,N/A,1.123,N/A,1.134,N/A
.cc__com-Youtube.mtx__13000000000.xz,N/A,N/A,N/A,1.169,N/A,1.17,N/A
.cc__dblp-2010.mtx__3000000000.xz,N/A,N/A,N/A,1.107,N/A,1.109,N/A
.cc__dblp-2010.mtx__6000000000.xz,N/A,N/A,N/A,1.068,N/A,1.071,N/A
.cc__kron-18__366000000000.xz,N/A,N/A,N/A,0.697,N/A,0.6945,N/A
.cc__netherlands_osm.mtx__11000000000.xz,N/A,N/A,N/A,1.237,N/A,1.238,N/A
.cc__urand-17__1304000000000.xz,N/A,N/A,N/A,0.8524,N/A,0.8523,N/A
.cc__urand-17__550000000000.xz,N/A,N/A,N/A,0.8572,N/A,0.8608,N/A
.cc__urand-18__2669000000000.xz,N/A,N/A,N/A,0.7672,N/A,0.7363,N/A
.gcc_13B.trace.gz,N/A,N/A,N/A,0.797,N/A,0.7975,N/A
.mcf_158B.trace.gz,N/A,N/A,N/A,N/A,N/A,0.2951,N/A
.mcf_250B.trace.gz,N/A,N/A,N/A,N/A,N/A,0.2958,N/A
.mcf_46B.trace.gz,N/A,N/A,N/A,0.3747,N/A,0.3756,N/A
.omnetpp_340B.trace.gz,N/A,N/A,N/A,0.6791,N/A,0.6822,N/A
.soplex_205B.trace.gz,N/A,N/A,N/A,0.8952,N/A,0.8964,N/A
.soplex_217B.trace.gz,N/A,N/A,N/A,0.8905,N/A,0.892,N/A
.soplex_66B.trace.gz,N/A,N/A,N/A,0.9685,N/A,0.9708,N/A
.sphinx3_883B.trace.gz,N/A,N/A,N/A,1.726,N/A,1.722,N/A
.xalancbmk_748B.trace.gz,N/A,N/A,N/A,1.365,N/A,1.368,N/A
.xalancbmk_768B.trace.gz,N/A,N/A,N/A,1.316,N/A,1.318,N/A
.xalancbmk_99B.trace.gz,N/A,N/A,N/A,0.6991,N/A,0.698,N/A
