Benchmark,Baseline_IPC,champsim_mockingjay_bypass_IPC,champsim_mockingjay_bypass_Speedup,champsim_mockingjay_nlpc_all_triage_IPC,champsim_mockingjay_nlpc_all_triage_Speedup,champsim_mockingjay_nlpc_llc_triage_IPC,champsim_mockingjay_nlpc_llc_triage_Speedup,champsim_mockingjay_lpc_all_triage_IPC,champsim_mockingjay_lpc_all_triage_Speedup,champsim_mockingjay_lpc_llc_triage_IPC,champsim_mockingjay_lpc_llc_triage_Speedup
.astar_23B.trace.gz,0.5914,0.5946,0.54%,0.6238,5.48%,0.6219,5.16%,0.6244,5.58%,0.6206,4.94%
.astar_313B.trace.gz,0.3657,0.465,27.15%,0.3679,0.60%,0.492,34.54%,0.5024,37.38%,0.5032,37.60%
.bfs__amazon-2008.mtx__19000000000.xz,1.385,1.418,2.38%,1.393,0.58%,1.453,4.91%,1.45,4.69%,1.479,6.79%
.bfs__amazon-2008.mtx__23000000000.xz,1.065,1.129,6.01%,1.126,5.73%,1.167,9.58%,1.183,11.08%,1.186,11.36%
.bfs__citationCiteseer.mtx__4000000000.xz,1.301,1.321,1.54%,1.319,1.38%,1.334,2.54%,1.341,3.07%,1.334,2.54%
.bfs__citationCiteseer.mtx__7000000000.xz,0.8,0.9202,15.02%,0.9165,14.56%,0.963,20.37%,0.9724,21.55%,0.9686,21.07%
.bfs__com-Youtube.mtx__11000000000.xz,1.134,1.159,2.20%,1.145,0.97%,1.172,3.35%,1.176,3.70%,1.176,3.70%
.bfs__com-Youtube.mtx__14000000000.xz,1.381,1.505,8.98%,1.458,5.58%,1.548,12.09%,1.56,12.96%,1.588,14.99%
.bfs__dblp-2010.mtx__4000000000.xz,1.15,1.208,5.04%,1.214,5.57%,1.215,5.65%,1.22,6.09%,1.22,6.09%
.bfs__kron-18__269000000000.xz,0.7478,0.9155,22.43%,0.8366,11.87%,0.9218,23.27%,0.9197,22.99%,0.9265,23.90%
.bfs__luxembourg_osm.mtx__0.xz,1.359,1.353,-0.44%,1.36,0.07%,1.353,-0.44%,1.356,-0.22%,1.352,-0.52%
.bfs__netherlands_osm.mtx__37000000000.xz,0.9412,0.7821,-16.90%,0.9857,4.73%,0.8711,-7.45%,0.9016,-4.21%,0.8446,-10.26%
.bfs__urand-17__39000000000.xz,0.9855,1.167,18.42%,1.009,2.38%,1.165,18.21%,1.216,23.39%,1.17,18.72%
.bfs__urand-17__699000000000.xz,1.008,1.169,15.97%,1.006,-0.20%,1.169,15.97%,1.179,16.96%,1.182,17.26%
.bfs__urand-18__1342000000000.xz,1.135,1.219,7.40%,1.244,9.60%,1.243,9.52%,1.289,13.57%,1.289,13.57%
.bfs__urand-18__2050000000000.xz,1.114,1.221,9.61%,1.194,7.18%,1.246,11.85%,1.306,17.24%,1.295,16.25%
.bwaves_1609B.trace.gz,1.608,1.577,-1.93%,1.617,0.56%,1.556,-3.23%,1.602,-0.37%,1.588,-1.24%
.bwaves_1861B.trace.gz,1.609,1.643,2.11%,1.649,2.49%,1.637,1.74%,1.676,4.16%,1.675,4.10%
.cc__amazon-2008.mtx__25000000000.xz,0.8469,0.8626,1.85%,0.8372,-1.15%,0.8646,2.09%,0.879,3.79%,0.8758,3.41%
.cc__citationCiteseer.mtx__5000000000.xz,0.7315,0.7342,0.37%,0.7158,-2.15%,0.7364,0.67%,0.7375,0.82%,0.7377,0.85%
.cc__com-Youtube.mtx__11000000000.xz,1.065,1.094,2.72%,1.089,2.25%,1.128,5.92%,1.123,5.45%,1.134,6.48%
.cc__com-Youtube.mtx__13000000000.xz,1.112,1.145,2.97%,1.115,0.27%,1.148,3.24%,1.169,5.13%,1.17,5.22%
.cc__dblp-2010.mtx__3000000000.xz,1.055,1.102,4.45%,1.091,3.41%,1.107,4.93%,1.107,4.93%,1.109,5.12%
.cc__dblp-2010.mtx__6000000000.xz,1.006,1.062,5.57%,1.043,3.68%,1.068,6.16%,1.068,6.16%,1.071,6.46%
.cc__kron-18__366000000000.xz,0.5813,0.6852,17.87%,0.628,8.03%,0.6951,19.58%,0.697,19.90%,0.6945,19.47%
.cc__netherlands_osm.mtx__11000000000.xz,1.195,1.196,0.08%,1.192,-0.25%,1.208,1.09%,1.237,3.51%,1.238,3.60%
.cc__urand-17__1304000000000.xz,0.7227,0.8404,16.29%,0.75,3.78%,0.849,17.48%,0.8524,17.95%,0.8523,17.93%
.cc__urand-17__550000000000.xz,0.7261,0.8404,15.74%,0.7695,5.98%,0.8528,17.45%,0.8572,18.06%,0.8608,18.55%
.cc__urand-18__2669000000000.xz,0.6692,0.6851,2.38%,0.6567,-1.87%,0.7102,6.13%,0.7672,14.64%,0.7363,10.03%
.gcc_13B.trace.gz,0.7551,0.7676,1.66%,0.7885,4.42%,0.7786,3.11%,0.797,5.55%,0.7975,5.62%
.mcf_158B.trace.gz,0.2701,0.2724,0.85%,0.245,-9.29%,0.2867,6.15%,N/A,N/A,0.2951,9.26%
.mcf_250B.trace.gz,0.2934,0.293,-0.14%,0.285,-2.86%,0.2953,0.65%,N/A,N/A,N/A,N/A
.mcf_46B.trace.gz,0.3169,0.3335,5.24%,0.3029,-4.42%,0.3576,12.84%,0.3747,18.24%,N/A,N/A
.omnetpp_340B.trace.gz,0.4457,0.5218,17.07%,0.6365,42.81%,0.653,46.51%,0.6791,52.37%,0.6822,53.06%
.soplex_205B.trace.gz,0.6021,0.7951,32.05%,0.7624,26.62%,0.8912,48.02%,0.8952,48.68%,0.8964,48.88%
.soplex_217B.trace.gz,0.5857,0.7887,34.66%,0.7411,26.53%,0.8711,48.73%,0.8905,52.04%,0.892,52.30%
.soplex_66B.trace.gz,0.7067,0.8999,27.34%,0.8528,20.67%,0.981,38.81%,0.9685,37.05%,0.9708,37.37%
.sphinx3_883B.trace.gz,1.985,1.734,-12.64%,2.026,2.07%,1.73,-12.85%,1.726,-13.05%,1.722,-13.25%
