Benchmark,Baseline_IPC,Experimental_IPC,Speedup,Buffer_Hits,Buffer_Inserts,Buffer_Hit_Rate
astar_163B,0.9736,0.9851,1.18%,N/A,N/A,N/A
astar_23B,0.588,0.5864,-0.27%,N/A,N/A,N/A
astar_313B,0.3884,0.4545,17.02%,N/A,N/A,N/A
bfs__amazon-2008-mtx__17000000000,1.854,1.854,0.00%,N/A,N/A,N/A
bfs__amazon-2008-mtx__19000000000,1.369,1.402,2.41%,N/A,N/A,N/A
bfs__amazon-2008-mtx__23000000000,1.069,1.134,6.08%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__1000000000,1.893,1.893,0.00%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__4000000000,1.302,1.319,1.31%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__7000000000,0.8282,0.9339,12.76%,N/A,N/A,N/A
bfs__com-Youtube-mtx__11000000000,1.157,1.197,3.46%,N/A,N/A,N/A
bfs__com-Youtube-mtx__14000000000,1.448,1.538,6.22%,N/A,N/A,N/A
bfs__com-Youtube-mtx__5000000000,1.885,1.885,0.00%,N/A,N/A,N/A
bfs__dblp-2010-mtx__1000000000,1.885,1.885,0.00%,N/A,N/A,N/A
bfs__dblp-2010-mtx__4000000000,1.169,1.209,3.42%,N/A,N/A,N/A
bfs__luxembourg_osm-mtx__0,1.356,1.356,0.00%,N/A,N/A,N/A
bfs__netherlands_osm-mtx__37000000000,0.9218,0.781,-15.27%,N/A,N/A,N/A
bfs__netherlands_osm-mtx__4000000000,1.843,1.843,0.00%,N/A,N/A,N/A
bwaves_1609B,1.592,1.558,-2.14%,N/A,N/A,N/A
bwaves_1861B,1.647,1.616,-1.88%,N/A,N/A,N/A
bwaves_98B,2.036,2.036,0.00%,N/A,N/A,N/A
calculix_2655B,3.446,3.444,-0.06%,N/A,N/A,N/A
calculix_2670B,3.224,3.224,0.00%,N/A,N/A,N/A
calculix_3812B,3.396,3.403,0.21%,N/A,N/A,N/A
cc__amazon-2008-mtx__17000000000,1.88,1.88,0.00%,N/A,N/A,N/A
cc__amazon-2008-mtx__19000000000,1.404,1.43,1.85%,N/A,N/A,N/A
cc__amazon-2008-mtx__25000000000,0.8318,0.858,3.15%,N/A,N/A,N/A
cc__citationCiteseer-mtx__1000000000,1.895,1.895,0.00%,N/A,N/A,N/A
cc__citationCiteseer-mtx__5000000000,0.7066,0.7343,3.92%,N/A,N/A,N/A
cc__com-Youtube-mtx__11000000000,1.105,1.124,1.72%,N/A,N/A,N/A
cc__com-Youtube-mtx__13000000000,1.098,1.141,3.92%,N/A,N/A,N/A
cc__com-Youtube-mtx__4000000000,1.9,1.9,0.00%,N/A,N/A,N/A
cc__dblp-2010-mtx__1000000000,1.889,1.889,0.00%,N/A,N/A,N/A
cc__dblp-2010-mtx__3000000000,1.07,1.091,1.96%,N/A,N/A,N/A
cc__dblp-2010-mtx__6000000000,1.03,1.064,3.30%,N/A,N/A,N/A
cc__luxembourg_osm-mtx__0,1.686,1.681,-0.30%,N/A,N/A,N/A
cc__netherlands_osm-mtx__11000000000,1.176,1.204,2.38%,N/A,N/A,N/A
cc__netherlands_osm-mtx__2000000000,1.884,1.884,0.00%,N/A,N/A,N/A
gcc_13B,0.7329,0.7537,2.84%,N/A,N/A,N/A
gcc_39B,2.335,2.33,-0.21%,N/A,N/A,N/A
gcc_56B,1.15,1.176,2.26%,N/A,N/A,N/A
mcf_158B,0.2379,0.2607,9.58%,N/A,N/A,N/A
mcf_250B,0.2735,0.2898,5.96%,N/A,N/A,N/A
mcf_46B,0.2841,0.3073,8.17%,N/A,N/A,N/A
omnetpp_17B,1.332,1.309,-1.73%,N/A,N/A,N/A
omnetpp_340B,0.4671,0.5224,11.84%,N/A,N/A,N/A
omnetpp_4B,1.297,1.285,-0.93%,N/A,N/A,N/A
perlbench_105B,1.053,1.047,-0.57%,N/A,N/A,N/A
perlbench_135B,1.109,1.105,-0.36%,N/A,N/A,N/A
perlbench_53B,1.062,1.06,-0.19%,N/A,N/A,N/A
bfs__kron-18__269000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-17__39000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-17__699000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-18__1342000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-18__2050000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__kron-18__366000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-17__1304000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-17__550000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-18__2669000000000,N/A,N/A,N/A,N/A,N/A,N/A
soplex_205B,0.6773,0.7509,10.87%,N/A,N/A,N/A
soplex_217B,0.6737,0.7313,8.55%,N/A,N/A,N/A
soplex_66B,0.7449,0.8387,12.59%,N/A,N/A,N/A
sphinx3_1339B,2.313,2.024,-12.49%,N/A,N/A,N/A
sphinx3_2520B,2.414,2.119,-12.22%,N/A,N/A,N/A
sphinx3_883B,1.923,1.733,-9.88%,N/A,N/A,N/A
xalancbmk_748B,1.325,1.345,1.51%,N/A,N/A,N/A
xalancbmk_768B,1.284,1.305,1.64%,N/A,N/A,N/A
xalancbmk_99B,0.5207,0.6449,23.85%,N/A,N/A,N/A
