Benchmark,Baseline_IPC,Experimental_IPC,Speedup,Buffer_Hits,Buffer_Inserts,Buffer_Hit_Rate
astar_163B,0.9767,1.006,3.00%,N/A,N/A,N/A
astar_23B,0.5914,0.5946,0.54%,N/A,N/A,N/A
astar_313B,0.2962,0.4648,56.92%,N/A,N/A,N/A
bfs__amazon-2008-mtx__17000000000,1.854,1.854,0.00%,N/A,N/A,N/A
bfs__amazon-2008-mtx__19000000000,1.283,1.393,8.57%,N/A,N/A,N/A
bfs__amazon-2008-mtx__23000000000,1.064,1.132,6.39%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__1000000000,1.893,1.893,0.00%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__4000000000,1.291,1.314,1.78%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__7000000000,0.7992,0.9036,13.06%,N/A,N/A,N/A
bfs__com-Youtube-mtx__11000000000,0.9987,1.159,16.05%,N/A,N/A,N/A
bfs__com-Youtube-mtx__14000000000,1.392,1.491,7.11%,N/A,N/A,N/A
bfs__com-Youtube-mtx__5000000000,1.885,1.885,0.00%,N/A,N/A,N/A
bfs__dblp-2010-mtx__1000000000,1.885,1.885,0.00%,N/A,N/A,N/A
bfs__dblp-2010-mtx__4000000000,1.147,1.21,5.49%,N/A,N/A,N/A
bfs__luxembourg_osm-mtx__0,1.359,1.353,-0.44%,N/A,N/A,N/A
bfs__netherlands_osm-mtx__37000000000,0.9352,0.7847,-16.09%,N/A,N/A,N/A
bfs__netherlands_osm-mtx__4000000000,1.843,1.843,0.00%,N/A,N/A,N/A
bwaves_1609B,1.632,1.577,-3.37%,N/A,N/A,N/A
bwaves_1861B,1.655,1.68,1.51%,N/A,N/A,N/A
bwaves_98B,2.036,2.036,0.00%,N/A,N/A,N/A
calculix_2655B,3.415,3.438,0.67%,N/A,N/A,N/A
calculix_2670B,3.224,3.224,0.00%,N/A,N/A,N/A
calculix_3812B,3.378,3.397,0.56%,N/A,N/A,N/A
cc__amazon-2008-mtx__17000000000,1.88,1.88,0.00%,N/A,N/A,N/A
cc__amazon-2008-mtx__19000000000,1.293,1.426,10.29%,N/A,N/A,N/A
cc__amazon-2008-mtx__25000000000,0.762,0.8616,13.07%,N/A,N/A,N/A
cc__citationCiteseer-mtx__1000000000,1.895,1.895,0.00%,N/A,N/A,N/A
cc__citationCiteseer-mtx__5000000000,0.6632,0.7326,10.46%,N/A,N/A,N/A
cc__com-Youtube-mtx__11000000000,0.9384,1.104,17.65%,N/A,N/A,N/A
cc__com-Youtube-mtx__13000000000,0.9598,1.147,19.50%,N/A,N/A,N/A
cc__com-Youtube-mtx__4000000000,1.9,1.9,0.00%,N/A,N/A,N/A
cc__dblp-2010-mtx__1000000000,1.889,1.889,0.00%,N/A,N/A,N/A
cc__dblp-2010-mtx__3000000000,1.034,1.101,6.48%,N/A,N/A,N/A
cc__dblp-2010-mtx__6000000000,0.9853,1.062,7.78%,N/A,N/A,N/A
cc__luxembourg_osm-mtx__0,1.687,1.684,-0.18%,N/A,N/A,N/A
cc__netherlands_osm-mtx__11000000000,1.063,1.199,12.79%,N/A,N/A,N/A
cc__netherlands_osm-mtx__2000000000,1.884,1.884,0.00%,N/A,N/A,N/A
gcc_13B,0.7262,0.7699,6.02%,N/A,N/A,N/A
gcc_39B,2.333,2.329,-0.17%,N/A,N/A,N/A
gcc_56B,1.128,1.172,3.90%,N/A,N/A,N/A
mcf_158B,0.1775,0.2745,54.65%,N/A,N/A,N/A
mcf_250B,0.2333,0.2929,25.55%,N/A,N/A,N/A
mcf_46B,0.1897,0.3233,70.43%,N/A,N/A,N/A
omnetpp_17B,1.334,1.309,-1.87%,N/A,N/A,N/A
omnetpp_340B,0.4388,0.5231,19.21%,N/A,N/A,N/A
omnetpp_4B,1.296,1.282,-1.08%,N/A,N/A,N/A
perlbench_105B,1.054,1.047,-0.66%,N/A,N/A,N/A
perlbench_135B,1.109,1.105,-0.36%,N/A,N/A,N/A
perlbench_53B,1.062,1.06,-0.19%,N/A,N/A,N/A
bfs__kron-18__269000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-17__39000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-17__699000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-18__1342000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-18__2050000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__kron-18__366000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-17__1304000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-17__550000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-18__2669000000000,N/A,N/A,N/A,N/A,N/A,N/A
soplex_205B,0.5589,0.7959,42.40%,N/A,N/A,N/A
soplex_217B,0.5429,0.7879,45.13%,N/A,N/A,N/A
soplex_66B,0.6587,0.8983,36.37%,N/A,N/A,N/A
sphinx3_1339B,2.328,2.023,-13.10%,N/A,N/A,N/A
sphinx3_2520B,2.421,2.121,-12.39%,N/A,N/A,N/A
sphinx3_883B,1.984,1.736,-12.50%,N/A,N/A,N/A
xalancbmk_748B,1.316,1.342,1.98%,N/A,N/A,N/A
xalancbmk_768B,1.278,1.3,1.72%,N/A,N/A,N/A
xalancbmk_99B,0.4486,0.6332,41.15%,N/A,N/A,N/A
