Benchmark,Baseline_IPC,Experimental_IPC,Speedup,Buffer_Hits,Buffer_Inserts,Buffer_Hit_Rate
astar_163B,1.006,1.006,0.00%,N/A,N/A,N/A
astar_23B,0.6219,0.6201,-0.29%,N/A,N/A,N/A
astar_313B,0.492,0.5033,2.30%,N/A,N/A,N/A
bfs__amazon-2008-mtx__17000000000,1.854,1.854,0.00%,N/A,N/A,N/A
bfs__amazon-2008-mtx__19000000000,1.453,1.479,1.79%,N/A,N/A,N/A
bfs__amazon-2008-mtx__23000000000,1.167,1.19,1.97%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__1000000000,1.893,1.893,0.00%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__4000000000,1.334,1.334,0.00%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__7000000000,0.963,0.9676,0.48%,N/A,N/A,N/A
bfs__com-Youtube-mtx__11000000000,1.172,1.172,0.00%,N/A,N/A,N/A
bfs__com-Youtube-mtx__14000000000,1.548,1.585,2.39%,N/A,N/A,N/A
bfs__com-Youtube-mtx__5000000000,1.885,1.885,0.00%,N/A,N/A,N/A
bfs__dblp-2010-mtx__1000000000,1.885,1.885,0.00%,N/A,N/A,N/A
bfs__dblp-2010-mtx__4000000000,1.215,1.22,0.41%,N/A,N/A,N/A
bfs__luxembourg_osm-mtx__0,1.353,1.352,-0.07%,N/A,N/A,N/A
bfs__netherlands_osm-mtx__37000000000,0.8711,0.8409,-3.47%,N/A,N/A,N/A
bfs__netherlands_osm-mtx__4000000000,1.843,1.843,0.00%,N/A,N/A,N/A
bwaves_1609B,1.556,1.588,2.06%,N/A,N/A,N/A
bwaves_1861B,1.637,1.673,2.20%,N/A,N/A,N/A
bwaves_98B,2.036,2.036,0.00%,N/A,N/A,N/A
calculix_2655B,3.44,3.445,0.15%,N/A,N/A,N/A
calculix_2670B,3.224,3.224,0.00%,N/A,N/A,N/A
calculix_3812B,3.401,3.397,-0.12%,N/A,N/A,N/A
cc__amazon-2008-mtx__17000000000,1.88,1.88,0.00%,N/A,N/A,N/A
cc__amazon-2008-mtx__19000000000,1.457,1.48,1.58%,N/A,N/A,N/A
cc__amazon-2008-mtx__25000000000,0.8646,0.8758,1.30%,N/A,N/A,N/A
cc__citationCiteseer-mtx__1000000000,1.895,1.895,0.00%,N/A,N/A,N/A
cc__citationCiteseer-mtx__5000000000,0.7364,0.7377,0.18%,N/A,N/A,N/A
cc__com-Youtube-mtx__11000000000,1.128,1.132,0.35%,N/A,N/A,N/A
cc__com-Youtube-mtx__13000000000,1.148,1.17,1.92%,N/A,N/A,N/A
cc__com-Youtube-mtx__4000000000,1.9,1.9,0.00%,N/A,N/A,N/A
cc__dblp-2010-mtx__1000000000,1.889,1.889,0.00%,N/A,N/A,N/A
cc__dblp-2010-mtx__3000000000,1.107,1.109,0.18%,N/A,N/A,N/A
cc__dblp-2010-mtx__6000000000,1.068,1.071,0.28%,N/A,N/A,N/A
cc__luxembourg_osm-mtx__0,1.685,1.684,-0.06%,N/A,N/A,N/A
cc__netherlands_osm-mtx__11000000000,1.208,1.238,2.48%,N/A,N/A,N/A
cc__netherlands_osm-mtx__2000000000,1.884,1.884,0.00%,N/A,N/A,N/A
gcc_13B,0.7786,0.7977,2.45%,N/A,N/A,N/A
gcc_39B,2.328,2.327,-0.04%,N/A,N/A,N/A
gcc_56B,1.171,1.175,0.34%,N/A,N/A,N/A
mcf_158B,0.2867,0.2947,2.79%,N/A,N/A,N/A
mcf_250B,0.2953,0.2942,-0.37%,N/A,N/A,N/A
mcf_46B,0.3576,0.3719,4.00%,N/A,N/A,N/A
omnetpp_17B,1.306,1.304,-0.15%,N/A,N/A,N/A
omnetpp_340B,0.653,0.6804,4.20%,N/A,N/A,N/A
omnetpp_4B,1.279,1.279,0.00%,N/A,N/A,N/A
perlbench_105B,1.045,1.047,0.19%,N/A,N/A,N/A
perlbench_135B,1.105,1.104,-0.09%,N/A,N/A,N/A
perlbench_53B,1.06,1.06,0.00%,N/A,N/A,N/A
bfs__kron-18__269000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-17__39000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-17__699000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-18__1342000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-18__2050000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__kron-18__366000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-17__1304000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-17__550000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-18__2669000000000,N/A,N/A,N/A,N/A,N/A,N/A
soplex_205B,0.8912,0.8921,0.10%,N/A,N/A,N/A
soplex_217B,0.8711,0.8881,1.95%,N/A,N/A,N/A
soplex_66B,0.981,0.9687,-1.25%,N/A,N/A,N/A
sphinx3_1339B,2.013,2.013,0.00%,N/A,N/A,N/A
sphinx3_2520B,2.115,2.111,-0.19%,N/A,N/A,N/A
sphinx3_883B,1.73,1.722,-0.46%,N/A,N/A,N/A
xalancbmk_748B,1.358,1.367,0.66%,N/A,N/A,N/A
xalancbmk_768B,1.312,1.317,0.38%,N/A,N/A,N/A
xalancbmk_99B,0.6627,0.6991,5.49%,N/A,N/A,N/A
