Benchmark,Baseline_IPC,Experimental_IPC,Speedup,Buffer_Hits,Buffer_Inserts,Buffer_Hit_Rate
astar_163B,0.9995,1.006,0.65%,N/A,N/A,N/A
astar_23B,0.5954,0.5946,-0.13%,N/A,N/A,N/A
astar_313B,0.4478,0.4648,3.80%,N/A,N/A,N/A
bfs__amazon-2008-mtx__17000000000,1.854,1.854,0.00%,N/A,N/A,N/A
bfs__amazon-2008-mtx__19000000000,1.354,1.393,2.88%,N/A,N/A,N/A
bfs__amazon-2008-mtx__23000000000,1.097,1.132,3.19%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__1000000000,1.893,1.893,0.00%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__4000000000,1.255,1.314,4.70%,N/A,N/A,N/A
bfs__citationCiteseer-mtx__7000000000,0.9084,0.9036,-0.53%,N/A,N/A,N/A
bfs__com-Youtube-mtx__11000000000,1.067,1.159,8.62%,N/A,N/A,N/A
bfs__com-Youtube-mtx__14000000000,1.495,1.491,-0.27%,N/A,N/A,N/A
bfs__com-Youtube-mtx__5000000000,1.885,1.885,0.00%,N/A,N/A,N/A
bfs__dblp-2010-mtx__1000000000,1.885,1.885,0.00%,N/A,N/A,N/A
bfs__dblp-2010-mtx__4000000000,1.216,1.21,-0.49%,N/A,N/A,N/A
bfs__luxembourg_osm-mtx__0,1.351,1.353,0.15%,N/A,N/A,N/A
bfs__netherlands_osm-mtx__37000000000,0.873,0.7847,-10.11%,N/A,N/A,N/A
bfs__netherlands_osm-mtx__4000000000,1.843,1.843,0.00%,N/A,N/A,N/A
bwaves_1609B,1.588,1.577,-0.69%,N/A,N/A,N/A
bwaves_1861B,1.647,1.68,2.00%,N/A,N/A,N/A
bwaves_98B,2.036,2.036,0.00%,N/A,N/A,N/A
calculix_2655B,3.43,3.438,0.23%,N/A,N/A,N/A
calculix_2670B,3.224,3.224,0.00%,N/A,N/A,N/A
calculix_3812B,3.359,3.397,1.13%,N/A,N/A,N/A
cc__amazon-2008-mtx__17000000000,1.88,1.88,0.00%,N/A,N/A,N/A
cc__amazon-2008-mtx__19000000000,1.364,1.426,4.55%,N/A,N/A,N/A
cc__amazon-2008-mtx__25000000000,0.8458,0.8616,1.87%,N/A,N/A,N/A
cc__citationCiteseer-mtx__1000000000,1.895,1.895,0.00%,N/A,N/A,N/A
cc__citationCiteseer-mtx__5000000000,0.727,0.7326,0.77%,N/A,N/A,N/A
cc__com-Youtube-mtx__11000000000,0.9898,1.104,11.54%,N/A,N/A,N/A
cc__com-Youtube-mtx__13000000000,1.107,1.147,3.61%,N/A,N/A,N/A
cc__com-Youtube-mtx__4000000000,1.9,1.9,0.00%,N/A,N/A,N/A
cc__dblp-2010-mtx__1000000000,1.889,1.889,0.00%,N/A,N/A,N/A
cc__dblp-2010-mtx__3000000000,1.073,1.101,2.61%,N/A,N/A,N/A
cc__dblp-2010-mtx__6000000000,1.057,1.062,0.47%,N/A,N/A,N/A
cc__luxembourg_osm-mtx__0,1.677,1.684,0.42%,N/A,N/A,N/A
cc__netherlands_osm-mtx__11000000000,1.184,1.199,1.27%,N/A,N/A,N/A
cc__netherlands_osm-mtx__2000000000,1.884,1.884,0.00%,N/A,N/A,N/A
gcc_13B,0.7542,0.7699,2.08%,N/A,N/A,N/A
gcc_39B,2.332,2.329,-0.13%,N/A,N/A,N/A
gcc_56B,1.158,1.172,1.21%,N/A,N/A,N/A
mcf_158B,0.2536,0.2745,8.24%,N/A,N/A,N/A
mcf_250B,0.2827,0.2929,3.61%,N/A,N/A,N/A
mcf_46B,0.2908,0.3233,11.18%,N/A,N/A,N/A
omnetpp_17B,1.345,1.309,-2.68%,N/A,N/A,N/A
omnetpp_340B,0.5196,0.5231,0.67%,N/A,N/A,N/A
omnetpp_4B,1.296,1.282,-1.08%,N/A,N/A,N/A
perlbench_105B,1.054,1.047,-0.66%,N/A,N/A,N/A
perlbench_135B,1.109,1.105,-0.36%,N/A,N/A,N/A
perlbench_53B,1.062,1.06,-0.19%,N/A,N/A,N/A
bfs__kron-18__269000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-17__39000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-17__699000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-18__1342000000000,N/A,N/A,N/A,N/A,N/A,N/A
bfs__urand-18__2050000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__kron-18__366000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-17__1304000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-17__550000000000,N/A,N/A,N/A,N/A,N/A,N/A
cc__urand-18__2669000000000,N/A,N/A,N/A,N/A,N/A,N/A
soplex_205B,0.6866,0.7959,15.92%,N/A,N/A,N/A
soplex_217B,0.6739,0.7879,16.92%,N/A,N/A,N/A
soplex_66B,0.8197,0.8983,9.59%,N/A,N/A,N/A
sphinx3_1339B,2.278,2.023,-11.19%,N/A,N/A,N/A
sphinx3_2520B,2.364,2.121,-10.28%,N/A,N/A,N/A
sphinx3_883B,1.841,1.736,-5.70%,N/A,N/A,N/A
xalancbmk_748B,1.346,1.342,-0.30%,N/A,N/A,N/A
xalancbmk_768B,1.299,1.3,0.08%,N/A,N/A,N/A
xalancbmk_99B,0.572,0.6332,10.70%,N/A,N/A,N/A
